,var1,var2,corr
59672,しつけ,ハーレム,-0.04070029363737998
12032,性転換(TS),拘束,-0.04067681196735458
3564,レスラー/格闘家,ラブラブ/あまあま,-0.04064229560427135
27060,ショートカット,乳首責め,-0.04064185344567681
25074,男性受け,オナニー,-0.04059220855982783
21546,お姉さん,レズ/女同士,-0.04054653263978515
22071,快楽堕ち,パイパン,-0.040546532639785124
36563,悪堕ち,手コキ,-0.040544945950376964
62951,着衣,リョナ,-0.040495082452252036
67626,格闘,オナニー,-0.04049324949230589
4834,オナニー,東方Project,-0.04049324949230585
24444,女主人公,制服,-0.0404584167191213
31369,巨乳/爆乳,スカトロ,-0.04041924054561396
56530,ギャグ,巨乳/爆乳,-0.04041924054561391
28746,妹,異種えっち,-0.04039867093557685
8970,制服,機械責め,-0.04039730324562386
24023,寝取られ,ラブコメ,-0.04038806261952685
12424,フェラチオ,ニューハーフ,-0.04036251631124238
62306,ぶっかけ,総集編,-0.04034618491767269
14277,学校/学園,東方Project,-0.0402915878635833
55271,ハーレム,連続絶頂,-0.04028262290447359
36071,おっぱい,魔法少女,-0.04027964181449602
8977,制服,異種えっち,-0.04017770480404611
44177,複数プレイ/乱交,女主人公,-0.040176014133922834
63815,出産,おっぱい,-0.04017357966962502
3044,ラブラブ/あまあま,戦闘エロ,-0.04016118729847176
40396,パイズリ,快楽堕ち,-0.04013693629749634
494,逆転無し,顔射,-0.040104391776970845
7657,スレンダー,逆転無し,-0.040104391776970845
43988,複数プレイ/乱交,乳首責め,-0.0400654619251749
29101,退廃/背徳/インモラル,クリ責め,-0.04004566734152296
12475,フェラチオ,健全,-0.040031377717865045
47398,女性優位,アナル,-0.04003062513315269
25092,男性受け,リョナ,-0.03998672246810326
59022,学生,メス堕ち,-0.0399646122795791
18303,女体化,フェラチオ,-0.03996166492147981
64124,おねショタ,女主人公,-0.0399523033122879
55780,フタナリ,学校/学園,-0.03994831578987791
61910,ほのぼの,制服,-0.03994020742863064
40247,パイズリ,ゲイ/男同士,-0.039888893446891824
31931,褐色/日焼け,女性視点,-0.039878753081351574
31364,巨乳/爆乳,浣腸,-0.03983994940246894
59055,学生,機械責め,-0.039823228689389936
23039,中出し,アンソロジー,-0.03980208313092691
36077,おっぱい,逆転無し,-0.03979314598814321
20963,断面図,女性視点,-0.03972949846293686
33902,逆レ,人妻,-0.03971032613085218
54825,クンニ,快楽堕ち,-0.03962512212765403
40255,パイズリ,コメディ,-0.03958514916068525
23858,オホ声,断面図,-0.03955143751045753
2754,イラマチオ,女性視点,-0.03952738633092489
30015,陰毛/腋毛,触手,-0.03951872035293771
28938,退廃/背徳/インモラル,レズ/女同士,-0.03950819858377983
58378,男の娘,黒髪,-0.03950011857945504
51815,VTuber,制服,-0.03947808553286315
62349,ぶっかけ,女主人公,-0.03945399195433387
35576,ツルペタ,ギャル,-0.03944748272872159
55735,フタナリ,スレンダー,-0.03943397647376089
23928,寝取られ,放尿/おしっこ,-0.03943396484270097
12502,フェラチオ,シリアス,-0.03942267464114829
4605,淫語,回し,-0.03941403679928141
45419,女装,おっぱい,-0.039391730003206345
63796,出産,巨乳/爆乳,-0.0393904526515759
62120,ほのぼの,学生,-0.03937262853070106
50434,初体験,逆転無し,-0.03935279717575381
7535,口内射精,乳首責め,-0.03933794849422304
2957,汁/液大量,逆転無し,-0.03928420173160891
2242,黒髪,逆転無し,-0.0392842017316089
65249,シスター,おっぱい,-0.03924716037962448
62045,ほのぼの,おっぱい,-0.039247160379624384
54731,クンニ,リョナ,-0.03921538933477889
2958,汁/液大量,乳首責め,-0.03921284826229697
11206,ビッチ,逆転無し,-0.03920101750286731
22030,快楽堕ち,ツインテール,-0.039196015795191504
21193,無表情,ラブラブ/あまあま,-0.039182102725493224
55682,フタナリ,少女,-0.03916612428097759
12961,処女,東方Project,-0.03913652477950876
11508,ラブコメ,乳首責め,-0.03912369562315491
64113,おねショタ,快楽堕ち,-0.039111932339702046
67797,格闘,おっぱい,-0.03910178417677814
6853,変身ヒロイン,黒髪,-0.03908773069950336
68021,母親,触手,-0.03905939425351379
52802,連続絶頂,ラブコメ,-0.03901689939237504
8952,制服,戦闘エロ,-0.03901075871077955
31909,褐色/日焼け,逆転無し,-0.03898181526945542
67606,格闘,ラブラブ/あまあま,-0.038972969128217794
3318,東方Project,ラブラブ/あまあま,-0.03897296912821777
37253,日常/生活,触手,-0.038926707893328305
59318,学生,VTuber,-0.03891707371740997
4496,コスプレ,逆転無し,-0.03889595127775867
68480,ノンフィクション/体験談,中出し,-0.03884364146756805
55493,下克上,中出し,-0.03884364146756798
59049,学生,女性視点,-0.0388280544414866
31910,褐色/日焼け,乳首責め,-0.03879892621661077
27022,人妻,本番なし,-0.038770262969300646
3352,母乳,逆転無し,-0.03874265270108753
11057,露出,逆転無し,-0.0387426527010875
56400,ギャグ,アナル,-0.03873531383718663
25154,男性受け,総集編,-0.03872751609884185
36130,おっぱい,レスラー/格闘家,-0.038627225518206
9027,制服,リョナ,-0.038627136605348916
67812,格闘,パイズリ,-0.038623912855761396
31253,巨乳/爆乳,天然,-0.03858620179262056
23717,オホ声,メガネ,-0.03858357181946242
23010,中出し,おむつ,-0.038569587539781965
23110,中出し,放置プレイ,-0.03856514253201747
23214,中出し,技術書,-0.038565142532017455
2732,イラマチオ,逆転無し,-0.038524746788297815
36239,おっぱい,緊縛,-0.038501981121728264
40305,パイズリ,つるぺた,-0.03848735371649338
18606,緊縛,ラブラブ/あまあま,-0.03848177481442047
55851,フタナリ,妹,-0.03848117319316086
7187,アナル,シリーズもの,-0.038459065649176435
59037,学生,戦闘エロ,-0.0384563879435264
44060,複数プレイ/乱交,バイノーラル/ダミヘ,-0.03844055179997285
59497,しつけ,オールハッピー,-0.03843993077363996
18193,女体化,アヘ顔,-0.03843746445007093
22576,和姦,快楽堕ち,-0.03835636355237834
4604,淫語,貧乳/微乳,-0.038341775757419684
45382,女装,人妻,-0.038316058419858676
